CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01;Caixa Líquido Atividades Operacionais;-149637.0;S
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01;Caixa Líquido Atividades Operacionais;-161363.0;S
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.01;Caixa Gerado nas Operações;-49655.0;S
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.01;Caixa Gerado nas Operações;-30911.0;S
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.01.01;Lucro (prejuízo) líquido do exercício;-4213208.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.01.01;Lucro (prejuízo) líquido do exercício;-722367.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.01.02;Resultado não realizado com derivativos;-829213.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.01.02;Resultado não realizado com derivativos;-519815.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.01.03;Remuneração baseada em ações;0.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.01.03;Remuneração baseada em ações;0.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.01.04;Variação cambial, líquida;80910.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.01.04;Variação cambial, líquida;-73236.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.01.05;Juros sobre ativos e passivos, líquido;205058.0;N
09.305.994/0001-29;2022-12-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.01.05;Juros sobre ativos e passivos, líquido;235636.0;N
