CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;COLUNA_DF;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Capital Social Integralizado;5.01;Saldos Iniciais;2314002.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Capital Social Integralizado;5.01;Saldos Iniciais;2315610.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.01;Saldos Iniciais;1959894.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.01;Saldos Iniciais;2020569.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Reservas de Lucro;5.01;Saldos Iniciais;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Reservas de Lucro;5.01;Saldos Iniciais;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Lucros ou Prejuízos Acumulados;5.01;Saldos Iniciais;-23286677.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Lucros ou Prejuízos Acumulados;5.01;Saldos Iniciais;-25667133.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Outros Resultados Abrangentes;5.01;Saldos Iniciais;5281.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Outros Resultados Abrangentes;5.01;Saldos Iniciais;3106.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Patrimônio Líquido;5.01;Saldos Iniciais;-19007500.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Patrimônio Líquido;5.01;Saldos Iniciais;-21327848.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Participação dos Não Controladores;5.01;Saldos Iniciais;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Participação dos Não Controladores;5.01;Saldos Iniciais;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Patrimônio Líquido Consolidado;5.01;Saldos Iniciais;-19007500.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Patrimônio Líquido Consolidado;5.01;Saldos Iniciais;-21327848.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Capital Social Integralizado;5.02;Ajustes de Exercícios Anteriores;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Capital Social Integralizado;5.02;Ajustes de Exercícios Anteriores;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.02;Ajustes de Exercícios Anteriores;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração das Mutações do Patrimônio Líquido;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;Reservas de Capital, Opções Outorgadas e Ações em Tesouraria;5.02;Ajustes de Exercícios Anteriores;0.0;S
