CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2;Passivo Total;1074630.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2;Passivo Total;1096718.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01;Passivo Circulante;46231.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01;Passivo Circulante;61089.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.01;Obrigações Sociais e Trabalhistas;2317.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.01;Obrigações Sociais e Trabalhistas;10107.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.01.01;Obrigações Sociais;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.01.01;Obrigações Sociais;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.01.02;Obrigações Trabalhistas;2317.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.01.02;Obrigações Trabalhistas;10107.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.02;Fornecedores;3436.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.02;Fornecedores;659.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.02.01;Fornecedores Nacionais;596.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.02.01;Fornecedores Nacionais;162.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.02.02;Fornecedores Estrangeiros;2840.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.02.02;Fornecedores Estrangeiros;497.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.03;Obrigações Fiscais;1354.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03;Obrigações Fiscais;3999.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.03.01;Obrigações Fiscais Federais;1215.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03.01;Obrigações Fiscais Federais;3955.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.03.01.02;Tributos a recolher;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03.01.02;Tributos a recolher;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.03.01.03;Obrigações Fiscais Federais;1215.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03.01.03;Obrigações Fiscais Federais;3955.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.03.02;Obrigações Fiscais Estaduais;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03.02;Obrigações Fiscais Estaduais;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.03.03;Obrigações Fiscais Municipais;139.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03.03;Obrigações Fiscais Municipais;44.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.04;Empréstimos e Financiamentos;39124.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.04;Empréstimos e Financiamentos;37649.0;S
