CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01;Caixa Líquido Atividades Operacionais;-358636.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01;Caixa Líquido Atividades Operacionais;-237930.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01;Caixa Gerado nas Operações;14128.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01;Caixa Gerado nas Operações;459257.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.01;Lucro liquido do período;-2786626.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.01;Lucro liquido do período;2667048.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.02;Depreciação e amortização;343749.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.02;Depreciação e amortização;522038.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.04;Resultado não realizado com instrumentos financeiros derivativos;-78172.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.04;Resultado não realizado com instrumentos financeiros derivativos;-306042.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.05;Despesa com remuneração baseada em ações;5851.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.05;Despesa com remuneração baseada em ações;8070.0;N
