CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-03-31;6.01;Caixa Líquido Atividades Operacionais;-2727.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2024-01-01;2024-03-31;6.01;Caixa Líquido Atividades Operacionais;-8086.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-03-31;6.01.01;Caixa Gerado nas Operações;-11988.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2024-01-01;2024-03-31;6.01.01;Caixa Gerado nas Operações;-16452.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-03-31;6.01.01.01;Lucro Líquido;-736641.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2024-01-01;2024-03-31;6.01.01.01;Lucro Líquido;-1050295.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-03-31;6.01.01.02;Instrumentos financeiros derivativos, líquidos;81039.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2024-01-01;2024-03-31;6.01.01.02;Instrumentos financeiros derivativos, líquidos;-151573.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-03-31;6.01.01.03;Variações cambiais, líquidas;-22603.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2024-01-01;2024-03-31;6.01.01.03;Variações cambiais, líquidas;41472.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-03-31;6.01.01.04;Receitas e despesas financeiras, líquidas;61922.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2024-01-01;2024-03-31;6.01.01.04;Receitas e despesas financeiras, líquidas;65838.0;N
