CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2025-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-03-31;4.01;Lucro Líquido do Período;-1050295.0;S
09.305.994/0001-29;2025-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-03-31;4.01;Lucro Líquido do Período;1653615.0;S
09.305.994/0001-29;2025-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-03-31;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-03-31;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-03-31;4.03;Resultado Abrangente do Período;-1050295.0;S
09.305.994/0001-29;2025-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-03-31;4.03;Resultado Abrangente do Período;1653615.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-06-30;4.01;Lucro Líquido do Período;-4859907.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-04-01;2024-06-30;4.01;Lucro Líquido do Período;-3809613.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-06-30;4.01;Lucro Líquido do Período;3121616.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-04-01;2025-06-30;4.01;Lucro Líquido do Período;1467995.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-04-01;2024-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-04-01;2025-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-06-30;4.03;Resultado Abrangente do Período;-4859907.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-04-01;2024-06-30;4.03;Resultado Abrangente do Período;-3809613.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-06-30;4.03;Resultado Abrangente do Período;3121616.0;S
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-04-01;2025-06-30;4.03;Resultado Abrangente do Período;1467995.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-09-30;4.01;Lucro Líquido do Período;-4738724.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-07-01;2024-09-30;4.01;Lucro Líquido do Período;121186.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-09-30;4.01;Lucro Líquido do Período;1755161.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-07-01;2025-09-30;4.01;Lucro Líquido do Período;-1366462.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-09-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-07-01;2024-09-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-09-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-07-01;2025-09-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-09-30;4.03;Resultado Abrangente do Período;-4738724.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-07-01;2024-09-30;4.03;Resultado Abrangente do Período;121186.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-09-30;4.03;Resultado Abrangente do Período;1755161.0;S
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-07-01;2025-09-30;4.03;Resultado Abrangente do Período;-1366462.0;S
