indicador_en,indicador_pt,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22,1T23,2T23,3T23,4T23,1T24,2T24,3T24,4T24,1T25,2T25,3T25,4T25
Passenger revenue (in R$ millions) ,Receitas de transporte de passageiros (em milhões de reais) ,1597.642,1417.436,2400.206,3395.76,2842.969,3558.442,4074.232,4119.936,4169.871,3949,4579,4665,4357,3859,4763,5144,5017,4578.922,5294.096,5340.61
Operating passenger aircraft at end of period ,Aeronaves operacionais de passageiros no final do período,159,161,160,161,166,167,168,177,182,181,181,183,181,182,186,181,184,176,185,187
Available seat kilometers (ASKs) (millions) ,Assento-quilômetro oferecido (ASKs) (milhões) ,7168.2704678,6105.215796,8661.449123499999,9451.483,9063.825217999998,9741.009878,10348.691943,10425.917043000001,10798.87547,10563,11539,11105,11077,10918,11967,12330,12802,12827,12818,12460
Domestic,Doméstico,6906.049421799999,5652.6277580000005,8087.202845499999,8734.036,8024.276716999999,8571.494711000001,8560.117275999999,8449.571119,8504.827514,8282,8923,8657,9019,8820,9533,9805,9936,9958,9643,9637
International,Internacional,262.22104600000006,452.5880379999999,574.2462780000001,717.447,1039.548501,1169.5151669999998,1788.5746670000003,1976.3459240000002,2294.047956,2281,2616,2448,2058,2098,2434,2525,2866,2869,3176,2823
Revenue passenger kilometers (RPKs) (million),Passageiros pagantes transportados por quilômetros voados (RPK) (milhões),5480.314084900001,4681.1220975000015,6916.704008700001,7772.567420899999,7283.892667999999,7669.679404999999,8464.931773,8142.515627999999,8598.424089,8435,9480,8885,8742,8764,9888,10383,10434,10459,10846,10597
Domestic,Doméstico,5306.3182879000005,4443.306674500001,6515.972718700001,7165.7706959,6442.170441999999,6666.0218509999995,6882.77676,6525.768282999999,6703.470762,6490,7174,6812,7028,6927,7776,8189,8065,8020,8134,8079
International,Internacional,173.99579699999998,237.815423,400.73129,606.7967249999999,841.722226,1003.657554,1582.1550129999998,1616.747345,1894.953327,1945,2306,2073,1714,1838,2112,2195,2369,2439,2712,2517
Load Factor (%) ,Taxa de ocupação (%) ,0.7645238986890451,0.7667414640063939,0.7985619854227158,0.8223648522565188,0.8036,0.7874,0.818,0.781,0.7962,0.799,0.8216,0.8001,0.7892,0.8027,0.8262722486838807,0.8420924574209245,0.815028901734104,0.8153894129570437,0.8461538461538461,0.8504815409309792
Passenger revenue per ASK (real cents) (PRASK) ,Receita de passageiros por ASK (centavos) (PRASK),22.287691391900413,23.21680424349082,27.71136752957226,35.92832997742259,31.37,36.53,39.37,39.52,38.61,37.38,39.68,42.01,39.33,35.34,39.8,41.72,39.19,35.7,41.3,42.86
Operating revenue per ASK (real cents) (RASK) ,Receita operacional por ASK (centavos) (RASK),25.47088601360154,27.883797344482918,31.37813270329256,39.46195533547486,35.23,40.29,42.29,42.72,41.47,40.42,42.61,45.3,42.23,38.22,42.87,44.98,42.14,38.53,44.76,46.55
Yield (real cents),Yield por passageiro/quilômetro (centavos) ,29.152380233133155,30.279833990166487,34.70158614538025,43.68903884794864,39.03,46.4,48.13,50.6,48.5,46.81,48.3,52.51,49.84,44.03,48.17,49.54,48.09,43.78,48.81,50.4
Departures total,Número de decolagens ,58586,46885,66563,73068,67981,77219,79694,79535,78739,77867,82167,78123,78535,79394,83449,80704,79796,79312,77428,74177
Block Hours,Horas-bloco ,96327.63333333333,78434.5666666667,111565.18333333332,123096.29999999999,117301.30000000002,129655.34999999992,135182.14999999997,136674.38333333333,137702.55000000002,133590,142663,136888,137457,136586,146604,147126,147394,146283,143883,137887
Average fare (R$),Tarifa média (em reais) ,304.27526360084767,316.0498121453337,373.9884092241311,474.39689289984705,449.0601777210967,518.8463794547191,558.2745721371903,588.7166135694142,590.7916115763602,550,587.5785961760555,643.6258278145696,604.3834096268554,521.204754186926,588.6787788901249,629.8518427819273,634,574,656,671
Stage Length (KM),Etapa média (em Km) ,1033.4192803273254,1054.8105081328977,1064.9101854895962,1070.9511521342517,1127.883502469346,1077.458690877404,1102.3383651054621,1112.9399721773468,1160.2275002551692,1131,1160,1184,1161,1143,1183,1242,1283,1282,1301,1285
CASK (real cents),CASK (centavos),28.457610551573776,34.438450149092816,29.80405929691426,33.90797364572296,34.44881256720424,38.890207970693524,38.391141291700926,37.68247748658382,37.18816539402442,34.81,34.27,37.35,35.01,34.18,34.28,34.93,37.68,35.57,34.85,35.15
CASK ex-fuel (real cents),CASK ex-fuel (centavos),20.119950823404672,24.45744341057195,19.652894203598912,21.518838522695177,21.331105954340465,21.45678965710212,20.024897417897755,20.672319121754793,21.692088930796167,22.15,22.43,23.72,22.79,21.6,21.8,23.88,25.4,24.74,24.16,24.08
Full time Employees,Funcionários,11701.1428571429,11814.5714285714,11968,12485,12944,13193,13214.857142857136,13542.980000000009,13650.710000000006,14007,14314,15248,15568,15763.860000000006,15096.450000000004,15343.450000000004,15337.750000000005,15363,14886,14674
Fuel liters consumed (thousands),Combustível de aviação  (milhares litros),220614.016,193700.37184535238,269270.272565356,296191.39587585756,279612.558466099,298444.15166053805,314128.732,314739.718,318461.78,311482,336765,324588,318301,315424,339093,352164,358817,359534,358265,351231
Average fuel cost per liter,Preço médio / litro,2.7091025803183784,3.145900001092956,3.265262041826751,3.953379525213427,4.25,5.69,6.05,5.63,5.25,4.3,4.06,4.66,4.25,4.35,4.405673369842492,3.869549414477346,4.38,3.86,3.82,3.93
Passengers Total (thousands),Passageiros (milhares),5250.647,4484.85,6417.862,7158.057,6330.931,6858.373,7297.9,6998.165,6998.165,7178,7793,7248,7209,7404,8091,8167,7916,7976,8067,7954
