indicador_en,indicador_pt,2021,2022,2023,2024,2025
Passenger revenue (in R$ millions),Receitas de transporte de passageiros (em milhões de reais),8811.044,14595.579,17362.89554013,18123.135,20231.002
Operating passenger aircraft at end of period,Aeronaves operacionais de passageiros no final do período,161.0,177.0,183.0,183.0,187.0
Available seat kilometers (ASKs) (millions),Assento-quilômetro oferecido (ASKs) (milhões),31386.4183873,39579.444082,44006.09232000001,46292.382957,50907.82745902889
Available seat kilometers (ASKs) (millions) - Doméstico,Assento-quilômetro oferecido (ASKs) (milhões) - Doméstico,29379.9160253,33605.459823,34367.197417,37177.133472999994,39173.67487324889
Available seat kilometers (ASKs) (millions) - Internacional,Assento-quilômetro oferecido (ASKs) (milhões) - Internacional,2006.5023620000002,5973.984259,9638.894902999999,9115.249484,11734.152585780002
Revenue passenger kilometers (RPKs) (million),Passageiros pagantes transportados por quilômetros voados (RPK) (milhões),24850.707612000002,31561.019474,35398.821577,37777.838531999994,42335.780164035095
Revenue passenger kilometers (RPKs) (million) - Doméstico,Passageiros pagantes transportados por quilômetros voados (RPK) (milhões) - Doméstico,23431.368377,26516.737335999995,27179.567005999997,29919.994303999996,32298.007956185094
Revenue passenger kilometers (RPKs) (million) - Internacional,Passageiros pagantes transportados por quilômetros voados (RPK) (milhões) - Internacional,1419.339235,5044.282138,8219.254571000001,7857.844228,10037.77220785
Load Factor (%),Taxa de ocupação (%),0.7917662762711222,0.797409367564952,0.8044072925082659,0.8160702931860522,0.8316163206553518
Passenger revenue per ASK (real cents) (PRASK),Receita de passageiros por ASK (centavos) (PRASK),28.072792158933446,36.876664992467134,39.455663124714356,39.14928081545119,39.740454483708035
Operating revenue per ASK (real cents) (RASK),Receita operacional por ASK (centavos) (RASK),31.78358510646922,40.29381253298826,42.481791015271845,42.18017554656341,42.96720188580851
Yield (real cents),Yield por passageiro/quilômetro (centavos),35.455907886282034,46.24558789054281,49.04936030811645,47.972927261703084,47.787005842392745
Departures total,Número de decolagens,245102.0,304429.0,316896.0,322082.0,310713.0
Block Hours,Horas-bloco,409423.6833333333,518813.18333333323,550842.7833333339,567773.7166666668,575447.5166666666
Average fare (R$),Tarifa média (em reais),377.97120518118675,531.030854997799,593.0410836568329,587.060395117241,633.9250216958944
Stage Length (KM),Etapa média (em Km),1057.382228820582,1105.1551326573897,1158.6732747646026,1182.1162713600886,1287.5491756533534
CASK (real cents),CASK (centavos),31.633841958015456,37.424487110678236,35.89199496899676,34.60292086298356,35.81468885612012
CASK ex-fuel (real cents),CASK ex-fuel (centavos),21.256031531203647,20.846972817131217,22.506382456151865,22.541534856593707,24.59776744144043
Full time Employees,Funcionários,12485.0,13542.980000000009,15248.0,15366.776666666667,14674.0
Fuel liters consumed (thousands),Combustível de aviação  (milhares litros),979761.538576231,1206925.1601266372,1291296.659,1324981.617,1427847.352
Average fuel cost per liter,Preço médio / litro,3.3245058840882122,5.436366907216976,4.561682212173988,4.214022993497879,3.9992307244899385
Passengers Total (thousands),Passageiros (milhares),23311.416,27485.369,29277.728,30870.989,31913.872
