indicador_en,indicador_pt,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22,1T23,2T23,3T23,4T23,1T24,2T24,3T24,4T24,1T25,2T25,3T25,4T25
Passenger revenue (in R$ millions),Receitas de transporte de passageiros (em milhões de reais),1597.642,1417.436,2400.206,3395.76,2842.969,3558.442,4074.232,4119.936,4169.871,3949.0,4579.0,4665.0,4357.0,3859.0,4763.0,5144.0,5017.0,4578.922,5294.096,5340.61
Operating passenger aircraft at end of period,Aeronaves operacionais de passageiros no final do período,159.0,161.0,160.0,161.0,166.0,167.0,168.0,177.0,182.0,181.0,181.0,183.0,181.0,182.0,186.0,181.0,184.0,176.0,185.0,187.0
Available seat kilometers (ASKs) (millions),Assento-quilômetro oferecido (ASKs) (milhões),7168.2704678,6105.215796,8661.449123499999,9451.483,9063.825217999998,9741.009878,10348.691943,10425.917043000001,10798.87547,10563.0,11539.0,11105.0,11077.0,10918.0,11967.0,12330.0,12802.0,12827.0,12818.0,12460.0
Available seat kilometers (ASKs) (millions) - Doméstico,Assento-quilômetro oferecido (ASKs) (milhões) - Doméstico,6906.049421799999,5652.6277580000005,8087.202845499999,8734.036,8024.276716999999,8571.494711000001,8560.117275999999,8449.571119,8504.827514,8282.0,8923.0,8657.0,9019.0,8820.0,9533.0,9805.0,9936.0,9958.0,9643.0,9637.0
Available seat kilometers (ASKs) (millions) - Internacional,Assento-quilômetro oferecido (ASKs) (milhões) - Internacional,262.22104600000006,452.5880379999999,574.2462780000001,717.447,1039.548501,1169.5151669999998,1788.5746670000003,1976.3459240000002,2294.047956,2281.0,2616.0,2448.0,2058.0,2098.0,2434.0,2525.0,2866.0,2869.0,3176.0,2823.0
Revenue passenger kilometers (RPKs) (million),Passageiros pagantes transportados por quilômetros voados (RPK) (milhões),5480.314084900001,4681.1220975000015,6916.704008700001,7772.567420899999,7283.892667999999,7669.679404999999,8464.931773,8142.515627999999,8598.424089,8435.0,9480.0,8885.0,8742.0,8764.0,9888.0,10383.0,10434.0,10459.0,10846.0,10597.0
Revenue passenger kilometers (RPKs) (million) - Doméstico,Passageiros pagantes transportados por quilômetros voados (RPK) (milhões) - Doméstico,5306.3182879000005,4443.306674500001,6515.972718700001,7165.7706959,6442.170441999999,6666.0218509999995,6882.77676,6525.768282999999,6703.470762,6490.0,7174.0,6812.0,7028.0,6927.0,7776.0,8189.0,8065.0,8020.0,8134.0,8079.0
Revenue passenger kilometers (RPKs) (million) - Internacional,Passageiros pagantes transportados por quilômetros voados (RPK) (milhões) - Internacional,173.99579699999998,237.815423,400.73129,606.7967249999999,841.722226,1003.657554,1582.1550129999998,1616.747345,1894.953327,1945.0,2306.0,2073.0,1714.0,1838.0,2112.0,2195.0,2369.0,2439.0,2712.0,2517.0
Load Factor (%),Taxa de ocupação (%),0.7645238986890451,0.7667414640063939,0.7985619854227158,0.8223648522565188,0.8036,0.7874,0.818,0.781,0.7962,0.799,0.8216,0.8001,0.7892,0.8027,0.8262722486838807,0.8420924574209245,0.815028901734104,0.8153894129570437,0.8461538461538461,0.8504815409309792
Passenger revenue per ASK (real cents) (PRASK),Receita de passageiros por ASK (centavos) (PRASK),22.287691391900413,23.21680424349082,27.71136752957226,35.92832997742259,31.37,36.53,39.37,39.52,38.61,37.38,39.68,42.01,39.33,35.34,39.8,41.72,39.19,35.7,41.3,42.86
Operating revenue per ASK (real cents) (RASK),Receita operacional por ASK (centavos) (RASK),25.47088601360154,27.883797344482918,31.37813270329256,39.46195533547486,35.23,40.29,42.29,42.72,41.47,40.42,42.61,45.3,42.23,38.22,42.87,44.98,42.14,38.53,44.76,46.55
