indicador_en,indicador_pt,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22,1T23,2T23,3T23,4T23,1T24,2T24,3T24,4T24,1T25,2T25,3T25,4T25
Passenger revenue,Transporte de passageiros,1597642,1417436,2400206,3395760,2842969,3558442,4074232,4119936,4169871,3948526,4579198,4665300,4357040,3859064,4762755,5144276,5017374,4578922,5294096,5340610
Other revenue,Outras receitas,228180,284930,317595,333980,350072,366321,302579,333516,308457,320885,337242,365097,321372,313681,366842,401178,377048,363422,442949,459248
Total Operating revenue ,Total receita líquida,1825822,1702366,2717801,3729740,3193041,3924763,4376811,4453452,4478328,4269411,4916440,5030397,4678412,4172745,5129597,5545454,5394422,4942344,5737045,5799858
Aircraft fuel,Combustível de aviação ,-597666,-609362,-879238,-1170957,-1188966,-1698191,-1900666,-1773465,-1673402,-1338217,-1365847,-1513019,-1353278,-1373576,-1493933,-1362716,-1571989,-1388694,-1370180,-1379428
"Salaries, wages and benefits",Salários e benefícios,-414520,-421164,-445504,-467253,-434221,-451471,-553681,-515195,-537472,-568457,-611494,-679830,-674671,-655915,-647866,-744420,-720680,-672126,-596967,-621819
Other rent & ACMI,Outros aluguéis & ACMI,0,0,0,0,0,0,0,0,0,0,0,0,0,-64505,-76543,0,0,-152417,-172201,-135839
Landing fees,Tarifas aeroportuárias ,-149343,-138790,-188488,-201032,-199107,-223704,-237902,-250533,-262361,-247040,-274130,-273375,-242239,-239604,-287057,-305918,-317829,-316564,-315882,-307018
Traffic and customer servicing,Prestação de serviços de tráfego,-86665,-80025,-104385,-118274,-132970,-150780,-169643,-188507,-195596,-189490,-209864,-212613,-207544,-207190,-221887,-235860,-233764,-251044,-241752,-230371
Sales and marketing,Comerciais e marketing,-86070,-74428,-86524,-157115,-126851,-157849,-196872,-217431,-173997,-179820,-205304,-220143,-201951,-191480,-240212,-255581,-245811,-164898,-230496,-249778
Maintenance materials and repairs,Material de manutenção e reparo ,-93885,-141348,-144027,-167387,-147200.47492,-168276,-123888,-152781.92321,-157896,-200325,-155852,-172127,-197674,-170720,-192160,-228668,-202493,-202762,-167497,-208435
Depreciation and amortization,Depreciação e amortização ,-343749,-349283,-349277,-502024,-522038,-478155,-521264,-572991,-567653,-564970,-597753,-583876,-614497,-611417,-626123,-711945,-815237,-762777,-717399,-717962
Share based incentive,Incentivo baseado em ações ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other operating expenses,"Outras despesas operacionais, líquidas",-268020.49301,-288141.6984,-384020.43274,-420764.364769986,-371026.68584781024,-459873,-269064.9456799999,-257839.91928838106,-447526.670478333,-389176,-533790,-492213,-385822,-217161,-316636,-461748,-716044,-651106,-654291,-528930
Total Operating expenses,Total custos dos serviços prestados,-2039918.4930099999,-2102541.6984,-2581463.43274,-3204806.364769986,-3122380.1607678104,-3788299,-3972980.94568,-3928743.842498381,-4015903.670478333,-3677495,-3954034,-4147196,-3877676,-3731568,-4102417,-4306856,-4823847,-4562388,-4466665,-4379580
