grupo,subgrupo,indicador_en,indicador_pt,2021,2022,2023,2024,2025
Meio Ambiente,Combustível,"Total fuel consumed per ASK (GJ / ASK, million)","Combustível consumido por ASK (Kg / ASK, milhares)",1172.4563321179926,1145.5053386207649,1102.2996981368817,1075.19,1053.6197146898667
Meio Ambiente,Combustível,Total fuel consumed (GJ x 1000),Combustível consumido (GJ x 1000),36798.0,45338.46449557304,48507.90228051976,49773.29,53637.490642863
Meio Ambiente,Frota,Average age of operating fleet¹,Idade média da frota operacional¹,6.6,7.1,7.4,7.3,7.2
Social,Relações Trabalhistas,Employee monthly turnover (%),% de Rotatividade mensal de funcionários,1.1,0.9,0.8,0.9,0.8
Social,Relações Trabalhistas,% of employee covered under collective bargaining agreements ,% de funcionários cobertos por acordos de negociação coletiva,100.0,100.0,100.0,100.0,100.0
Social,Relações Trabalhistas,Volunteers,Voluntários ,2754.0,4324.0,4602.0,6987.0,7153.0
Social,Gênero e Diversidade,% Male,% Masculino,59.0,59.4,59.4,59.3,58.7
Social,Gênero e Diversidade,% Female,% Feminino,41.0,40.6,40.6,40.8,41.3
Governança,Administração,Independent directors (%),% de Conselheiros Independentes,90.9,90.9090909090909,91.7,91.66666666666666,88.89
Governança,Administração,Percent of board members that are women,% de Participação de mulheres no conselho de administração,9.1,18.18,25.0,25.0,22.2
Governança,Administração,Board of directors average age,Idade média dos membros do Conselho de Administração,59.92073507145375,58.3861614087487,58.1,59.12,54.2
Governança,Administração,Director meeting attendance (%),% de Frequência da diretoria em reuniões ,98.9,96.14,99.4,99.4,99.0
Governança,Administração,Board size,Tamanho do Conselho de Administração,11.0,11.0,12.0,12.0,12.0
Governança,Administração,Participation of woman in leadership positions (%),% de Participação de mulheres em cargo de gestão,39.2,40.0,38.0,38.0,39.0
