indicador_en,indicador_pt,2021,2022,2023,2024,2025
ESG Key Indicators,"Indicadores Ambientais, Sociais e de Governança",2021.0,2022.0,2023.0,2024.0,2025.0
"Total fuel consumed per ASK (GJ / ASK, million)","Combustível consumido por ASK (Kg / ASK, milhares)",1172.4563321179926,1145.5053386207649,1102.2996981368817,1075.19,1053.6197146898667
Total fuel consumed (GJ x 1000),Combustível consumido (GJ x 1000),36798.0,45338.46449557304,48507.90228051976,49773.29,53637.490642863
Average age of operating fleet¹,Idade média da frota operacional¹,6.6,7.1,7.4,7.3,7.2
Employee monthly turnover (%),% de Rotatividade mensal de funcionários,1.1,0.9,0.8,0.9,0.8
% of employee covered under collective bargaining agreements ,% de funcionários cobertos por acordos de negociação coletiva,100.0,100.0,100.0,100.0,100.0
Volunteers,Voluntários ,2754.0,4324.0,4602.0,6987.0,7153.0
% Male,% Masculino,59.0,59.4,59.4,59.3,58.7
% Female,% Feminino,41.0,40.6,40.6,40.8,41.3
Independent directors (%),% de Conselheiros Independentes,90.9,90.9090909090909,91.7,91.66666666666666,88.89
Percent of board members that are women,% de Participação de mulheres no conselho de administração,9.1,18.18,25.0,25.0,22.2
Board of directors average age,Idade média dos membros do Conselho de Administração,59.92073507145375,58.3861614087487,58.1,59.12,54.2
Director meeting attendance (%),% de Frequência da diretoria em reuniões ,98.9,96.14,99.4,99.4,99.0
Board size,Tamanho do Conselho de Administração,11.0,11.0,12.0,12.0,12.0
Participation of woman in leadership positions (%),% de Participação de mulheres em cargo de gestão,39.2,40.0,38.0,38.0,39.0
